price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:15.673613+00:00,jumia,laptops,1850.0,1850.0,1850.0,1850.0,2
2026-03-30 10:27:15.675602+00:00,jumia,laptops,1901.0,1901.0,1901.0,1901.0,1
2026-03-30 10:27:15.676658+00:00,jumia,laptops,799.0,799.0,799.0,799.0,2
2026-03-30 10:27:15.677474+00:00,jumia,laptops,739.0,739.0,739.0,739.0,1
2026-03-30 10:27:15.679837+00:00,jumia,laptops,1095.0,1095.0,1095.0,1095.0,1
2026-03-30 10:27:15.680423+00:00,jumia,laptops,1843.0,1843.0,1843.0,1843.0,1
2026-03-30 10:27:15.682000+00:00,jumia,laptops,582.0,582.0,582.0,582.0,2
2026-03-30 10:27:15.684127+00:00,jumia,laptops,2425.0,2425.0,2425.0,2425.0,2
2026-03-30 10:27:15.687288+00:00,jumia,laptops,1989.0,1989.0,1989.0,1989.0,1
2026-03-30 10:27:15.688425+00:00,jumia,laptops,863.0,863.0,863.0,863.0,2
2026-03-30 10:27:15.690028+00:00,jumia,laptops,1503.5,1503.5,1067.0,1940.0,4
2026-03-30 10:27:15.692138+00:00,jumia,laptops,2289.0,2289.0,2289.0,2289.0,2
2026-03-30 10:27:15.693476+00:00,jumia,laptops,1455.0,1455.0,1455.0,1455.0,2
2026-03-30 10:27:15.694586+00:00,jumia,laptops,1399.0,1399.0,1399.0,1399.0,2
2026-03-30 10:27:15.696588+00:00,jumia,laptops,2350.0,2350.0,2350.0,2350.0,2
2026-03-30 10:27:15.698136+00:00,jumia,laptops,3676.0,3676.0,3676.0,3676.0,2
2026-03-30 10:27:15.699166+00:00,jumia,laptops,1899.0,1899.0,1899.0,1899.0,2
2026-03-30 10:27:15.700418+00:00,jumia,laptops,2134.0,2134.0,2134.0,2134.0,2
2026-03-30 10:27:15.702013+00:00,jumia,laptops,2199.0,2199.0,2199.0,2199.0,2
2026-03-30 10:27:15.703188+00:00,jumia,laptops,2088.0,2088.0,2088.0,2088.0,2
2026-03-30 10:27:15.704277+00:00,jumia,laptops,1950.0,1950.0,1950.0,1950.0,2
2026-03-30 10:27:15.706253+00:00,jumia,laptops,1499.0,1499.0,1499.0,1499.0,2
2026-03-30 10:27:15.707285+00:00,jumia,laptops,1499.0,1499.0,1499.0,1499.0,2
2026-03-30 10:27:15.708286+00:00,jumia,laptops,2199.0,2199.0,2199.0,2199.0,2
2026-03-30 10:27:15.709292+00:00,jumia,laptops,3250.0,3250.0,3250.0,3250.0,2
2026-03-30 10:27:15.710869+00:00,jumia,laptops,2350.0,2350.0,2350.0,2350.0,2
2026-03-30 10:27:15.713382+00:00,jumia,laptops,1599.0,1599.0,1599.0,1599.0,2
2026-03-30 10:27:15.714361+00:00,jumia,laptops,863.0,863.0,863.0,863.0,2
