name,price,category,source,url,scraped_at,source_label
"Écouteurs sans fil Bluetooth, réduction du bruit ENC, son stéréo basse profonde affichage LED",73.36,smartphones,jumia,,2026-06-12T13:55:05.791739,
"43 FHD Smart Google Tv Original, Télé Vocale + Find my remote, Bluetooth + Support Gratuit",2266.3,tv,jumia,,2026-06-12T13:55:09.916730,
Woman Relax Fit Knitted Dress - Black,107.79,vetements,jumia,,2026-06-12T13:55:16.150622,
"Stylet intelligent universel pour écran tactile, stylo pour Android IOS ipad",107.05,smartphones,jumia,,2026-06-12T13:56:10.742419,
ELITEBOOK 840 G5 8ÉME GÉN-CORE i5-8Go-256 Go SSD-GARANTIE DE SIX MOIS-Remis à neuf,2910.12,laptops,jumia,,2026-06-12T13:56:14.830911,
Women's 2-Pack Cotton Pilates Socks,57.28,vetements,jumia,,2026-06-12T13:56:23.761768,
Top Pour Femmes Polyester - Noir,97.39,vetements,jumia,,2026-06-12T13:56:28.134603,
"Téléviseur 55"" Crystal UHD 4K – Tizen OS, HDR10+, Modèle 55DU7000 (Version Égypte)",5093.15,tv,jumia,,2026-06-12T13:56:41.645882,
"X6c - 6.6""- 6GB + 256GB Midnight - Black NFC",1417.21,smartphones,jumia,,2026-06-12T13:56:45.447245,
"PC Portable HP Probook 650 Core i3 G3- 7ème Génération- 500Go HDD- 8GB RAM -Ecran 15.6""- GARANTIE 6",2095.11,laptops,jumia,,2026-06-12T13:56:45.835147,
Smart TV 43'' modèle 2025 - Crystal UHD U8000F 4K - HDR10 PRO - Tizen™,3791.33,tv,jumia,,2026-06-12T13:57:09.833629,
"Macbook Pro Retina 13,3"" -2015 -INTEL CORE i5-RAM 8Go-SSD 256Go - Remis a neuf",3011.02,laptops,jumia,,2026-06-12T13:57:16.431921,
Medion Germany Rayzen 7 3700u 8g ram 512g ssd pos 15.6,3799.51,laptops,micromagma,,2026-06-12T13:57:17.561279,
Pantalon Jean Charlie Large Femme - Bleu Clair,129.42,vetements,jumia,,2026-06-12T13:57:29.186614,
pack de 10 slips pour femme,168.72,vetements,jumia,,2026-06-12T13:57:31.287412,
